file_path,file_name,file_type,scan_status,run_status,is_executable,in_scope,has_initialize,has_handle,missing_apis,error_message,scan_timestamp
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/50 ETF动量轮动RSRS择时-V2.1.txt,50 ETF动量轮动RSRS择时-V2.1.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.698373
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/28 XGBoost模型多因子策略分享.txt,28 XGBoost模型多因子策略分享.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.700901
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/14 FOF养老成长基金-v2.0.txt,14 FOF养老成长基金-v2.0.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.708139
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 红利搬砖_测试版.txt,04 红利搬砖_测试版.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.715796
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/15 小市值策略之再优化，年化接近翻倍.txt,15 小市值策略之再优化，年化接近翻倍.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.716601
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/85 【深度解析 七】BBI指标-大盘涨跌-宽基轮动 模型.txt,85 【深度解析 七】BBI指标-大盘涨跌-宽基轮动 模型.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.718275
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/93 因子看板多因子模型---由量化课堂多因子模型修改.txt,93 因子看板多因子模型---由量化课堂多因子模型修改.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.720521
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/76 ETF-控制回撤性能拉满（国债ETF增强）.txt,76 ETF-控制回撤性能拉满（国债ETF增强）.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.723141
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/78 首板低开策略-终极版 最大回撤15%，年化50%.txt,78 首板低开策略-终极版 最大回撤15%，年化50%.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.724708
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/69 场内基金定投价值平均增强策略，年化30%+.txt,69 场内基金定投价值平均增强策略，年化30%+.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.729243
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/42 市值，研发支出，roe，三因子，跑赢大盘.txt,42 市值，研发支出，roe，三因子，跑赢大盘.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.733319
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/44 最易上手的网格策略v2.0，设置几个参数就可以直接使用.txt,44 最易上手的网格策略v2.0，设置几个参数就可以直接使用.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.736293
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/59 追板策略，今年收益已翻倍，低操作低回撤高收益可实盘.txt,59 追板策略，今年收益已翻倍，低操作低回撤高收益可实盘.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.738944
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/77 超强单因子策略（EBITEV）.txt,77 超强单因子策略（EBITEV）.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.744737
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/28 正黄旗大妈策略V3.0修改版.txt,28 正黄旗大妈策略V3.0修改版.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.746223
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/61 BiLSTM for ETF.txt,61 BiLSTM for ETF.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.748943
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/93 【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.txt,93 【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.750827
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/77 致敬市场（2）——随机选股.txt,77 致敬市场（2）——随机选股.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.754103
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/82 无需先验知识，动态选择的etf轮动策略，更具鲁棒性.txt,82 无需先验知识，动态选择的etf轮动策略，更具鲁棒性.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.754937
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/22 截止到21年12月依然有效的小市值适配因子.txt,22 截止到21年12月依然有效的小市值适配因子.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.757526
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/15 2020年 267%年化 13%回撤 上涨趋势策略修改版.txt,15 2020年 267%年化 13%回撤 上涨趋势策略修改版.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.759491
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/89 基于Gyro^.^大神的小市值策略的因子匹配研究.txt,89 基于Gyro^.^大神的小市值策略的因子匹配研究.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.763659
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/79 EPS+MS因子的大盘蓝筹策略.txt,79 EPS+MS因子的大盘蓝筹策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.763814
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/18 6年17倍的etf+分级b的轮动趋势策略跟随感悟.txt,18 6年17倍的etf+分级b的轮动趋势策略跟随感悟.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.766616
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/45 真真正正的诚意之作-2021超十倍.txt,45 真真正正的诚意之作-2021超十倍.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.769218
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/33 alpha191短周期价量特征因子选股，年化46.77.txt,33 alpha191短周期价量特征因子选股，年化46.77.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.773328
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/65 搭建量化交易模型从零开始——择时，选股，仓位管理和因子分析.txt,65 搭建量化交易模型从零开始——择时，选股，仓位管理和因子分析.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.775706
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/40 穿越牛熊 稳健高收益 年化37.txt,40 穿越牛熊 稳健高收益 年化37.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.781663
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/30 价值成长轮动策略.txt,30 价值成长轮动策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.782875
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/96 【复现】高频价量相关性，意想不到的选股因子.txt,96 【复现】高频价量相关性，意想不到的选股因子.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.786875
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/72 量化进阶学习笔记——打板策略.txt,72 量化进阶学习笔记——打板策略.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.788144
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/16 集合竞价三合一，今年收益1067%，年化198%.txt,16 集合竞价三合一，今年收益1067%，年化198%.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.788263
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/60 ETF动量轮动RSRS择时-v2.txt,60 ETF动量轮动RSRS择时-v2.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.793461
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/46 【深度解析 四】聚宽三因子基本面周线模型策略.txt,46 【深度解析 四】聚宽三因子基本面周线模型策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.796410
"/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/17 8年13倍的ETF动量轮动策略,有滑点,无未来函数,回撤小.txt","17 8年13倍的ETF动量轮动策略,有滑点,无未来函数,回撤小.txt",txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.799815
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/78 ffscore选股加rsrs择时.txt,78 ffscore选股加rsrs择时.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.803598
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/75 勾股神器2，代码40行，年化一百点。.txt,75 勾股神器2，代码40行，年化一百点。.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.808260
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/21 【原创】年化123%最大回撤14%涨停弱转强竞价战法.txt,21 【原创】年化123%最大回撤14%涨停弱转强竞价战法.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.809117
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/56 分享券商金股组合增强.txt,56 分享券商金股组合增强.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.814623
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/85 稳健型ETF策略.txt,85 稳健型ETF策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.824161
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/80 短线策略-2022年两个半月收益45%-无未来函数.txt,80 短线策略-2022年两个半月收益45%-无未来函数.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.826342
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/43 窄基ETF轮动：年化收益82.68%，最大回撤13.54%.txt,43 窄基ETF轮动：年化收益82.68%，最大回撤13.54%.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.829934
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/32 北向Boll带_ETF组合宝付费策略.txt,32 北向Boll带_ETF组合宝付费策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.831629
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/62 基金溢价（模拟效果好！）.txt,62 基金溢价（模拟效果好！）.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.835152
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/77 龙头弱转强战法.txt,77 龙头弱转强战法.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.838284
